priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,sourceUid,suggestedFilenameSku,suggestedFilenameSourceUid,title,slug,sourceUrl,mainImageUrl,reason
P2,Request supplier image; launch with placeholder only if approved,no,RAW 4x4,raw4x4,exhaust-pipes-tips,rich,0.00,M1078K,RAW4X4_M1078K,M1078K.png,RAW4X4_M1078K.png,M1078K Other for Foton Foton Tunland V7 Ute/dual CAB (all Engine Variants),m1078k-other-for-foton-foton-tunland-v7-ute-dual-cab-all-engine-variants,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,RAW 4x4,raw4x4,exhaust-pipes-tips,rich,0.00,RSB24TR26,RAW4X4_RSB24TR26,RSB24TR26.png,RAW4X4_RSB24TR26.png,RSB24TR26 Other for Mitsubishi NEW GEN Triton 2024 MV Triton 2024 on,rsb24tr26-other-for-mitsubishi-new-gen-triton-2024-mv-triton-2024-on,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P2,Request supplier image; launch with placeholder only if approved,no,RAW 4x4,raw4x4,exhaust-pipes-tips,rich,0.00,RSB85RL15K,RAW4X4_RSB85RL15K,RSB85RL15K.png,RAW4X4_RSB85RL15K.png,RSB85RL15K Other for Mitsubishi NEW GEN Triton 2024 MV Triton 2024 on,rsb85rl15k-other-for-mitsubishi-new-gen-triton-2024-mv-triton-2024-on,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,G6965M2,RAW4X4_G6965M2,G6965M2.png,RAW4X4_G6965M2.png,G6965M2 Shock Absorber Nitro for Great Wall Tank Tank 300 Diesel or Hybrid,g6965m2-shock-absorber-nitro-for-great-wall-tank-tank-300-diesel-or-hybrid,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,LTS846M3Y,RAW4X4_LTS846M3Y,LTS846M3Y.png,RAW4X4_LTS846M3Y.png,"LTS846M3Y Shock Absorber for Chevrolet Suburban K2500, K3500 Wagon",lts846m3y-shock-absorber-for-chevrolet-suburban-k2500-k3500-wagon,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,M766K,RAW4X4_M766K,M766K.png,RAW4X4_M766K.png,M766K Shock Absorber for Suzuki Jimny JB74,m766k-shock-absorber-for-suzuki-jimny-jb74,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,MA964M1,RAW4X4_MA964M1,MA964M1.png,RAW4X4_MA964M1.png,"MA964M1 Shock Absorber for Toyota Hilux / N90 (travo) Gun226r, GUN227R (all Types)",ma964m1-shock-absorber-for-toyota-hilux-n90-travo-gun226r-gun227r-all-types,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,NM2501,RAW4X4_NM2501,NM2501.png,RAW4X4_NM2501.png,NM2501 Shock Absorber Nitro MAX for Toyota Prado 250 Prado 250 GX GXL & Altitude (2.8ltr Turbo Diesel),nm2501-shock-absorber-nitro-max-for-toyota-prado-250-prado-250-gx-gxl-and-altitude-2-8ltr-turbo-diesel,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,NM2502,RAW4X4_NM2502,NM2502.png,RAW4X4_NM2502.png,NM2502 Shock Absorber Nitro MAX for Toyota Prado 250 Prado 250 GX GXL & Altitude (2.8ltr Turbo Diesel),nm2502-shock-absorber-nitro-max-for-toyota-prado-250-prado-250-gx-gxl-and-altitude-2-8ltr-turbo-diesel,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,P1210M1,RAW4X4_P1210M1,P1210M1.png,RAW4X4_P1210M1.png,P1210M1 Shock Absorber for Dodge RAM 1500 Dsute,p1210m1-shock-absorber-for-dodge-ram-1500-dsute,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,PR1415S,RAW4X4_PR1415S,PR1415S.png,RAW4X4_PR1415S.png,PR1415S Shock Absorber Predator for Mitsubishi NEW GEN Triton 2024 MV Triton 2024 on,pr1415s-shock-absorber-predator-for-mitsubishi-new-gen-triton-2024-mv-triton-2024-on,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,PR1475,RAW4X4_PR1475,PR1475.png,RAW4X4_PR1475.png,PR1475 Shock Absorber Nitro for Dodge RAM 1500 DT,pr1475-shock-absorber-nitro-for-dodge-ram-1500-dt,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,PR1475S,RAW4X4_PR1475S,PR1475S.png,RAW4X4_PR1475S.png,PR1475S Shock Absorber Nitro for Dodge RAM 1500 Dsute,pr1475s-shock-absorber-nitro-for-dodge-ram-1500-dsute,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,RSB68RL25K,RAW4X4_RSB68RL25K,RSB68RL25K.png,RAW4X4_RSB68RL25K.png,RSB68RL25K Shock Absorber Nitro MAX for Toyota Landcruiser 76 Series VDJ76 Wagon (v8 Turbo Diesel),rsb68rl25k-shock-absorber-nitro-max-for-toyota-landcruiser-76-series-vdj76-wagon-v8-turbo-diesel,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
P3,Potential placeholder exception; verify product is commodity or supplier-data item,no,RAW 4x4,raw4x4,suspension-4x4-parts,standard,0.00,SAC768K,RAW4X4_SAC768K,SAC768K.png,RAW4X4_SAC768K.png,SAC768K Shock Absorber for Suzuki Jimny 5 Door XL 5 Door,sac768k-shock-absorber-for-suzuki-jimny-5-door-xl-5-door,raw4x4.com.au,,No matched ZIP image candidate or usable remote image URL
